retweetContacts,commentContacts,quoteContacts,otherContacts,sumContacts
1,0,0,0,1
1,0,0,0,1
281,18,0,0,299
14,0,0,0,14
1,0,0,0,1
3,7,2,0,12
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
77,0,1,0,78
1,0,0,0,1
1,0,0,0,1
22,65,1,0,88
8,0,0,0,8
11,28,1,0,40
1,0,0,0,1
42,0,0,0,42
1,0,0,0,1
61,1,0,0,62
2,0,0,0,2
1,0,0,0,1
687,2,1,0,690
1,0,0,0,1
28,0,0,0,28
6,0,0,0,6
4,1,0,0,5
2,0,0,0,2
55,3,6,0,64
13,2,0,0,15
8,0,0,0,8
1,0,0,0,1
121,19,4,0,144
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
6,0,0,0,6
1,0,0,0,1
267,1,0,0,268
1,0,0,0,1
129,4,2,0,135
5,0,0,0,5
248,7,4,0,259
13,0,0,0,13
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
3,0,0,0,3
72,2,0,0,74
3,0,0,0,3
1,0,0,0,1
467,0,0,0,467
3,0,0,0,3
74,0,0,0,74
2,0,0,0,2
1,0,0,0,1
82,4,2,0,88
1,0,0,0,1
39,0,0,0,39
8,0,0,0,8
29,3,0,0,32
1,0,0,0,1
19,0,0,0,19
1,0,0,0,1
2,0,0,0,2
22,0,1,0,23
1,0,0,0,1
2,0,0,0,2
512,32,1,0,545
2,0,0,0,2
2,0,0,0,2
9,0,0,0,9
1,0,0,0,1
1,0,0,0,1
56,23,20,0,99
1,1,0,0,2
22,7,0,0,29
2,0,0,0,2
1,0,0,0,1
132,2,0,0,134
1,0,0,0,1
87,2,5,0,94
5,0,0,0,5
8,0,0,0,8
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1,4,0,0,5
1,0,0,0,1
1,0,0,0,1
66,0,0,0,66
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
16,1,0,0,17
1,0,0,0,1
2,2,0,0,4
22,0,0,0,22
1,13,0,0,14
1,0,0,0,1
27,29,0,0,56
2,0,0,0,2
5,0,0,0,5
1,0,0,0,1
11,0,0,0,11
768,13,0,0,781
1,0,0,0,1
7,0,0,0,7
140,0,0,0,140
115,135,17,0,267
6,0,0,0,6
2,0,0,0,2
1,0,0,0,1
3,0,0,0,3
68,6,1,0,75
1,0,0,0,1
58,261,0,0,319
5,0,0,0,5
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
38,0,0,0,38
1,0,0,0,1
1,0,0,0,1
28,0,0,0,28
1,0,0,0,1
4,0,0,0,4
2,0,0,0,2
16,21,1,0,38
2,0,0,0,2
8,0,0,0,8
1,0,0,0,1
88,1,0,0,89
1,0,0,0,1
12,0,0,0,12
1,0,0,0,1
31,3,3,0,37
3,0,0,0,3
1,0,0,0,1
32,2,0,0,34
2,0,0,0,2
218,5,0,0,223
5,0,0,0,5
186,5,2,0,193
5,0,0,0,5
18,6,0,0,24
1,0,0,0,1
24,0,0,0,24
1,0,0,0,1
8,20,0,0,28
2,0,0,0,2
392,8,1,0,401
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
8,0,0,0,8
1,0,0,0,1
159,75,13,0,247
4,0,0,0,4
1,0,0,0,1
19,5,1,0,25
1,0,0,0,1
2,0,0,0,2
26,0,0,0,26
7,1,0,0,8
1,0,0,0,1
83,2,0,0,85
1,0,0,0,1
130,1,0,0,131
1,0,0,0,1
2,0,0,0,2
